"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"91",606959,"Rookie Davis","522","17.4","0.211","0.211","0.214","0.421","0.336","0.317","0.203","4","19","77.6","9.7","2207","86.5","86.91","8","34","57","0.4","6.50","111","143","109","143","299","304","271"
"88",543144,"Danny Farquhar","1675","5.3","0.333","0.250","0.300","0.583","0.431","0.436","0.330","4","12","85.3","17.3","2383","90.6","90.42","5","34","54","-0.2","6.28","111","151","116","146","292","323","298"
"87",519393,"Marcus Walden","213","40.8","0.273","0.136","0.353","0.409","0.308","0.347","0.313","6","22","85.1","13.7","2280","90.2","90.83","10","45","42","0.6","6.56","112","154","122","147","279","311","289"
"86",276520,"Bronson Arroyo","1159","7.4","0.579","0.684","0.467","1.263","0.721","0.633","0.510","11","19","85.0","27.5","2104","84.4","83.62","5","34","51","-0.8","5.84","112","150","109","147","293","308","279"
"82",425532,"Jerome Williams","291","28.2","0.409","0.273","0.400","0.682","0.481","0.395","0.330","9","22","81.3","16.0","2179","87.1","86.08","17","52","29","-1.0","5.67","110","145","115","142","295","318","294"
"81",600917,"Jose Leclerc","2064","3.9","0.150","0.150","0.250","0.300","0.271","0.234","0.094","3","20","78.0","22.2","2608","87.3","85.69","24","41","40","-1.6","5.26","105","152","113","147","299","330","296"
"80",407819,"Matt Thornton","280","28.6","0.259","0.037","0.304","0.296","0.257","0.245","0.237","7","27","83.2","-3.4","1469","87.7","86.73","7","49","31","-1.0","5.75","100","151","113","143","290","312","291"
"79",448179,"Rich Hill","6147","1.3","0.167","0.000","0.273","0.167","0.177","0.158","0.116","3","18","82.7","23.8","2399","84.7","84.39","7","36","42","-0.3","5.90","109","154","114","144","298","325","294"
"76",501381,"Michael Pineda","4570","1.7","0.214","0.214","0.273","0.429","0.266","0.224","0.175","3","14","84.0","24.4","2038","94.3","94.59","6","32","42","0.3","6.48","110","153","115","144","292","322","291"
"75",543456,"Kyle Lobstein","412","18.2","0.167","0.083","0.167","0.250","0.177","0.200","0.174","2","12","81.4","17.4","2228","83.5","82.17","14","43","32","-1.3","5.67","108","149","109","147","303","310","294"
"75",456167,"A.J. Griffin","3385","2.2","0.385","0.462","0.300","0.846","0.520","0.620","0.428","5","13","82.2","16.9","2230","82.5","82.73","3","26","49","0.2","6.49","107","151","109","146","299","329","298"
"73",592872,"Alex Wimmers","462","15.8","0.462","0.000","0.600","0.462","0.443","0.249","0.195","6","13","82.0","10.6","2234","87.7","87.77","8","33","40","0.1","6.18","106","147","115","145","294","315","288"
"72",641793,"Zack Littell","427","16.9","0.318","0.409","0.235","0.727","0.437","0.378","0.285","7","22","85.3","13.0","2036","86.5","87.00","9","39","33","0.5","6.47","106","150","113","146","294","324","291"
"69",501625,"Jose Alvarez","2711","2.5","0.333","0.095","0.500","0.429","0.359","0.305","0.262","7","21","83.3","13.4","2332","87.2","87.52","8","37","32","0.3","6.35","111","153","112","147","300","321","297"
"69",112526,"Bartolo Colon","7367","0.9","0.350","0.200","0.500","0.550","0.399","0.429","0.360","7","20","82.4","11.5","2311","85.6","84.06","3","27","42","-1.5","5.13","115","155","114","150","291","319","299"
"65",465657,"Joakim Soria","3236","2.0","0.231","0.077","0.250","0.308","0.292","0.382","0.311","3","13","84.9","14.7","2144","92.7","92.84","10","32","33","0.1","6.49","115","150","110","145","293","323","296"
"63",433579,"John Danks","387","16.3","0.500","0.100","0.625","0.600","0.495","0.409","0.357","5","10","82.1","28.0","2413","84.3","83.44","4","24","39","-0.9","5.87","104","152","103","146","300","313","278"
"62",543699,"Tanner Roark","9529","0.7","0.222","0.111","0.286","0.333","0.322","0.334","0.262","2","9","80.1","19.3","2152","89.2","88.24","4","21","39","-1.0","5.69","117","155","114","149","295","316","301"
"62",425856,"Gavin Floyd","475","13.1","0.313","0.375","0.375","0.688","0.433","0.322","0.239","5","16","81.6","10.3","2095","87.8","88.33","16","35","27","0.5","6.74","112","152","116","147","296","316","290"
"62",543726,"Robbie Ross Jr.","1129","5.5","0.353","0.000","0.462","0.353","0.331","0.405","0.384","6","17","79.7","9.2","2250","87.2","86.66","7","37","25","-0.5","5.87","109","149","114","147","279","318","290"
"59",605280,"Clay Holmes","499","11.8","0.182","0.000","0.250","0.182","0.204","0.238","0.206","2","11","82.1","9.5","2326","89.4","89.01","7","24","35","-0.4","5.87","109","150","114","146","303","321","296"
"57",502083,"Zach McAllister","2683","2.1","0.200","0.000","0.222","0.200","0.176","0.217","0.226","2","10","84.0","15.5","2159","89.2","90.81","3","19","38","1.6","7.01","106","149","111","147","297","312","285"
"56",593969,"Jayson Aquino","269","20.8","0.316","0.263","0.455","0.579","0.372","0.283","0.208","6","19","80.2","16.4","2282","84.6","82.16","8","33","23","-2.4","4.81","110","156","121","149","302","320","294"
"53",596043,"Daniel Mengden","3734","1.4","0.154","0.231","0.111","0.385","0.286","0.316","0.185","2","13","80.8","12.6","2116","87.1","87.25","10","28","25","0.1","6.26","108","151","118","151","299","320","299"
"52",642571,"Merandy Gonzalez","437","11.9","0.300","0.000","0.600","0.300","0.264","0.284","0.296","3","10","82.8","18.7","2252","93.6","91.78","11","31","21","-1.8","5.08","111","151","113","149","304","320","289"
"52",543548,"Tommy Milone","2507","2.1","0.353","0.176","0.385","0.529","0.392","0.411","0.379","6","17","81.2","15.6","2237","86.9","86.56","6","25","27","-0.3","6.09","112","152","110","148","297","307","291"
"51",545346,"Zach Lee","172","29.7","0.071","0.071","0.091","0.143","0.164","0.263","0.140","1","14","85.9","25.2","2368","86.1","85.63","5","22","29","-0.5","5.78","99","149","115","147","315","333","306"
"51",570649,"Yordano Ventura","3050","1.7","0.143","0.143","0.143","0.286","0.364","0.406","0.199","1","7","85.5","14.3","2140","92.0","90.24","3","18","33","-1.8","5.42","110","146","104","142","285","307","286"
"50",621281,"Tyler Wagner","145","34.5","0.308","0.154","0.308","0.462","0.352","0.446","0.357","4","13","81.6","10.0","2401","89.2","88.64","2","25","23","-0.6","5.67","107","146","106","146","299","319","296"
