"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"108",459429,"Jake McGee","2647","4.1","0.296","0.259","0.353","0.556","0.382","0.306","0.239","8","27","80.7","7.1","2118","76.4","75.61","11","46","61","-0.8","5.64","111","148","116","145","301","324","302"
"106",643617,"Zac Reininger","559","19.0","0.333","0.111","0.400","0.444","0.335","0.245","0.239","6","18","81.0","5.1","2608","78.8","78.44","12","38","68","-0.4","5.92","109","153","119","144","297","324","289"
"106",592533,"Cody Martin","450","23.6","0.115","0.115","0.143","0.231","0.165","0.253","0.210","3","26","86.0","2.6","2403","74.1","72.79","13","34","72","-1.3","5.90","109","150","113","145","292","311","291"
"105",543867,"Nik Turley","323","32.5","0.200","0.067","0.300","0.267","0.283","0.259","0.182","3","15","70.8","-9.9","2736","78.4","77.43","5","28","74","-1.0","5.89","107","146","112","143","289","309","285"
"105",571871,"Ian Krol","1783","5.9","0.172","0.207","0.267","0.379","0.242","0.236","0.192","5","29","75.1","-1.3","2412","78.1","76.34","14","43","60","-1.8","5.20","107","147","113","148","295","312","287"
"104",623167,"Chris Flexen","1062","9.8","0.520","0.600","0.500","1.120","0.676","0.434","0.347","13","25","80.8","14.4","2564","79.5","78.63","6","41","63","-0.9","5.82","109","147","108","146","291","311","293"
"104",592547,"Deck McGuire","925","11.2","0.217","0.000","0.417","0.217","0.312","0.282","0.155","5","23","76.9","8.6","2622","76.5","74.69","12","40","60","-1.8","5.42","114","152","115","147","295","317","300"
"103",621052,"Alex Reyes","866","11.9","0.267","0.067","0.444","0.333","0.287","0.257","0.218","4","15","83.6","8.3","2484","79.9","78.31","6","22","80","-1.6","5.60","111","149","110","145","292","307","295"
"100",582494,"Robby Scott","857","11.7","0.286","0.143","0.400","0.429","0.383","0.392","0.278","2","7","78.2","17.5","2310","73.6","73.01","8","21","78","-0.6","6.32","110","149","113","148","284","322","287"
"100",521230,"Liam Hendriks","2693","3.7","0.211","0.000","0.364","0.211","0.185","0.217","0.216","4","19","79.6","3.3","1904","78.6","78.68","14","43","57","0.1","6.16","112","156","113","150","294","322","300"
